It is the remnant of some even older part of the city, as best I can tell.	It is the remnant of some even older part of the city, as best I can tell.
Kiss me and I will give you forgetfulness and bliss in an earthly paradise. All the pains of your heart and soul will be cured.	Kiss me and I will give you forgetfulness and bliss in an earthly paradise. All the pains of your heart and soul will be cured.
Will you kiss me and be my cherished lover?	Will you kiss me and be my cherished lover?
Then if the delights of the flesh are not enough for you, I can offer more powerful gifts, for I serve the Goddess herself and I have drunk from her sacred cup.	Then if the delights of the flesh are not enough for you, I can offer more powerful gifts, for I serve the Goddess herself and I have drunk from her sacred cup.
Behold!  A vision of the Holy Grail!	Behold!  A vision of the Holy Grail!
I have the power to give you immortality! With but one kiss, you will become invincible. No man, woman or beast will ever overcome you.	I have the power to give you immortality! With but one kiss, you will become invincible. No man, woman or beast will ever overcome you.
You will stride the earth, powerful and invincible, for all time. Think of the deeds of valor you could perform! 	You will stride the earth, powerful and invincible, for all time. Think of the deeds of valor you could perform! 
Will you kiss me and become a god in human form?	Will you kiss me and become a god in human form?
Then I find you worthy, King Arthur, and will help you to find what you seek.	Then I find you worthy, King Arthur, and will help you to find what you seek.
Ask of me what you will.	Ask of me what you will.
The Street of David ends here against this sacred wall. A beggar sits, coaxing what warmth he can from a brazier filled with burning charcoal.	The Street of David ends here against this sacred wall. A beggar sits, coaxing what warmth he can from a brazier filled with burning charcoal.
Though this wall looks to be made of similar stone to the rest of Jerusalem, it is a remnant of a very ancient temple built by King David many hundreds of years ago and is held sacred by the Jewish people.	Though this wall looks to be made of similar stone to the rest of Jerusalem, it is a remnant of a very ancient temple built by King David many hundreds of years ago and is held sacred by the Jewish people.
What is this mindless violence that inflicts you? Even a leper has a right to live.	What is this mindless violence that inflicts you? Even a leper has a right to live.
Touch a man with leprosy? Do not be a fool!	Touch a man with leprosy? Do not be a fool!
That would be extraordinarily cruel, Arthur.	That would be extraordinarily cruel, Arthur.
A small pile of charcoal burns inside a simple bronze brazier.	A small pile of charcoal burns inside a simple bronze brazier.
The beggar is a pathetic sight for his limbs are rotting with the disease of leprosy.	The beggar is a pathetic sight for his limbs are rotting with the disease of leprosy.
The beggar holds a staff in one hand.	The beggar holds a staff in one hand.
A thousand blessings upon for bringing me this charcoal.	A thousand blessings upon for bringing me this charcoal.
At night, I suffer from the cold. I have only this brazier in which to burn charcoal, my only source of warmth. Men fear to come near me and I can no longer walk upon my rotted limbs.	At night, I suffer from the cold. I have only this brazier in which to burn charcoal, my only source of warmth. Men fear to come near me and I can no longer walk upon my rotted limbs.
I must rely upon the goodness of strangers, such as yourself, to bring me charcoal so I will not suffer in the night.	I must rely upon the goodness of strangers, such as yourself, to bring me charcoal so I will not suffer in the night.
A small bag of charcoal would be a gift greater than silver or gold to this poor leper.	A small bag of charcoal would be a gift greater than silver or gold to this poor leper.
Alms for a poor leper. Look upon the wretched with mercy. Alms for a poor leper.	Alms for a poor leper. Look upon the wretched with mercy. Alms for a poor leper.
Sa'alam aleikem, King Arthur. You have passed many trials, yet more Guardians of the Sacred Cup wait to test you.	Sa'alam aleikem, King Arthur. You have passed many trials, yet more Guardians of the Sacred Cup wait to test you.
