It encompasses all things that are considered plants.	It encompasses all things that are considered plants.
Each broken pillar looks much the same as its neighbor. You must find the right one by your wits.	Each broken pillar looks much the same as its neighbor. You must find the right one by your wits.
The elegant marble pillars which once held a roof have all been broken and thrown down, the work of those who would destroy the worship of Aphrodite.	The elegant marble pillars which once held a roof have all been broken and thrown down, the work of those who would destroy the worship of Aphrodite.
They are common weeds, of no interest.	They are common weeds, of no interest.
The round pedestal in the center of the temple's ruins must have once held an altar or statue, but is empty now.	The round pedestal in the center of the temple's ruins must have once held an altar or statue, but is empty now.
The walls which encompass these ruins have deliberately been build without windows or doors, to enclose and hide this ruin.	The walls which encompass these ruins have deliberately been build without windows or doors, to enclose and hide this ruin.
It closed solidly behind you. Only the Goddess herself could reopen it.	It closed solidly behind you. Only the Goddess herself could reopen it.
The stairs bring you to the surface and into blessed light and fresh air.	The stairs bring you to the surface and into blessed light and fresh air.
Around you is the ruin of a circular temple. Once there was a famous Temple of Aphrodite in Jerusalem. Perhaps this was it.	Around you is the ruin of a circular temple. Once there was a famous Temple of Aphrodite in Jerusalem. Perhaps this was it.
The marble stones are ancient and weather-worn. The marble pillars are toppled and an empty round pedestal in the middle may have once held a statue or altar.	The marble stones are ancient and weather-worn. The marble pillars are toppled and an empty round pedestal in the middle may have once held a statue or altar.
Walls without doors or windows have been built entirely around the temple, right up to the very edge of the ruins.	Walls without doors or windows have been built entirely around the temple, right up to the very edge of the ruins.
The indentation once held a pillar.	The indentation once held a pillar.
The spiral carved into the threshold is lunar. That is, it turns to the left and denotes feminine power and influence.	The spiral carved into the threshold is lunar. That is, it turns to the left and denotes feminine power and influence.
The steps lead down into a narrow alley.	The steps lead down into a narrow alley.
The Thief ran this way. Catch him!	The Thief ran this way. Catch him!
Stop babbling and catch the Thief!	Stop babbling and catch the Thief!
He is dead, you fool! Catch the Thief!	He is dead, you fool! Catch the Thief!
She is gone, you fool! Catch the thief!	She is gone, you fool! Catch the thief!
Forget that! Catch the Thief!	Forget that! Catch the Thief!
The alley is bounded by tall buildings without windows or doors. It takes a sharp turn not far from the Temple stairs.	The alley is bounded by tall buildings without windows or doors. It takes a sharp turn not far from the Temple stairs.
Just around the bend in the alley, there is a tiny grate in the bottom of the wall. Otherwise, there seem to be no windows or doors in these walls.	Just around the bend in the alley, there is a tiny grate in the bottom of the wall. Otherwise, there seem to be no windows or doors in these walls.
The fallen pillars are too heavy to look under.	The fallen pillars are too heavy to look under.
Why do you waste time here? The Temple awaits you but a few steps away.	Why do you waste time here? The Temple awaits you but a few steps away.
This appears to be the only way in or out of the Temple.	This appears to be the only way in or out of the Temple.
They are the fallen marble pillars that once formed the Temple of Aphrodite.	They are the fallen marble pillars that once formed the Temple of Aphrodite.
There is none here.	There is none here.
There is a tiny grate or barred opening of some sort at the base of this wall.	There is a tiny grate or barred opening of some sort at the base of this wall.
There are a few trees rising above the high walls that encircle the Temple.	There are a few trees rising above the high walls that encircle the Temple.
A few roofs can be glimpsed in the distance, for all the good it does you.	A few roofs can be glimpsed in the distance, for all the good it does you.
The stairs and only entrance to the Temple face the alley where once they must have faced a major street.	The stairs and only entrance to the Temple face the alley where once they must have faced a major street.
It is one of the walls which enclose the temple.	It is one of the walls which enclose the temple.
Aye, that IS your mission. Do get on with it.	Aye, that IS your mission. Do get on with it.
He grovels before you, pleading for mercy. You have two choices--take up the Grail and show him mercy, or draw your sword and strike him down.	He grovels before you, pleading for mercy. You have two choices--take up the Grail and show him mercy, or draw your sword and strike him down.
She is no longer concerned with these affairs. You must decide whether or not to show mercy to this man.	She is no longer concerned with these affairs. You must decide whether or not to show mercy to this man.
The Thief offers it to you. You must decide whether to slay him, or take it and show him mercy.	The Thief offers it to you. You must decide whether to slay him, or take it and show him mercy.
Arthur, this man is begging for mercy. You must deal with him. Nothing else matters.	Arthur, this man is begging for mercy. You must deal with him. Nothing else matters.
Are you blind? He grovels in front of you.	Are you blind? He grovels in front of you.
He deserves nothing from you except possibly your mercy. Either take the Grail or slay him.	He deserves nothing from you except possibly your mercy. Either take the Grail or slay him.
Do not be absurd. Either take the Grail and show him mercy, or draw your sword and slay him.	Do not be absurd. Either take the Grail and show him mercy, or draw your sword and slay him.
The alley ends here, going nowhere. All the other walls around you are featureless.	The alley ends here, going nowhere. All the other walls around you are featureless.
But to one side there is an alcove in which rests the weathered head of an ancient stone statue. And there is a window at the top of the alcove and another tiny grate at the bottom.	But to one side there is an alcove in which rests the weathered head of an ancient stone statue. And there is a window at the top of the alcove and another tiny grate at the bottom.
Why do you waste time here? Return to the Temple.	Why do you waste time here? Return to the Temple.
Since this is a dead end, you seem to have no choice but to return to the Temple.	Since this is a dead end, you seem to have no choice but to return to the Temple.
There is a tiny grate or barred opening of some sort at the base of this wall. I believe it may even be the top of a buried window.	There is a tiny grate or barred opening of some sort at the base of this wall. I believe it may even be the top of a buried window.
And there is a small window high in this alcove, with a single metal bar across it.	And there is a small window high in this alcove, with a single metal bar across it.
There is a small window high in this alcove, with a single metal bar across it.	There is a small window high in this alcove, with a single metal bar across it.
The stairs and only entrance to the Temple are at the other end of this alley which ends here.	The stairs and only entrance to the Temple are at the other end of this alley which ends here.
It could be the head of a god, a king, a warrior. Who can say? Perhaps the entire statue is buried. We shall never know its strange story.	It could be the head of a god, a king, a warrior. Who can say? Perhaps the entire statue is buried. We shall never know its strange story.
That would be wonderful, if it were here.	That would be wonderful, if it were here.
That is quite impossible for it is partially buried and would weigh far more than you could manage to move.	That is quite impossible for it is partially buried and would weigh far more than you could manage to move.
I hardly think such barbaric behaviour is called for.	I hardly think such barbaric behaviour is called for.
The window is too high to reach.	The window is too high to reach.
Nay, your god smiles upon you! His rope has broken!	Nay, your god smiles upon you! His rope has broken!
By all that is holy, you have dallied shamelessly and the Thief has escaped. There is no hope for you, Arthur. You may as well fall upon your sword.	By all that is holy, you have dallied shamelessly and the Thief has escaped. There is no hope for you, Arthur. You may as well fall upon your sword.
By all the gods, he will escape!	By all the gods, he will escape!
Mercy, master, mercy! I am only a poor, miserable wretch! Have mercy!	Mercy, master, mercy! I am only a poor, miserable wretch! Have mercy!
Here is your treasure, untouched! Take it and let me live, I beg you! Have mercy!	Here is your treasure, untouched! Take it and let me live, I beg you! Have mercy!
He is a pathetic creature. You must choose, Arthur. Either take up the Grail now in an act of mercy....or draw your sword and slay him.	He is a pathetic creature. You must choose, Arthur. Either take up the Grail now in an act of mercy....or draw your sword and slay him.
By the gods, he dared to stab you in the back! If not for your mail tunic, you would be dead at the hands of this foul dog.	By the gods, he dared to stab you in the back! If not for your mail tunic, you would be dead at the hands of this foul dog.
It is time to let the Grail decide his fate.	It is time to let the Grail decide his fate.
And so, he comes to the end he deserves.	And so, he comes to the end he deserves.
Now you must move quickly to find Galahad and return to Camelot.	Now you must move quickly to find Galahad and return to Camelot.
I do not blame you for slaying him after all the grief he has caused you. The merchants of Jerusalem would no doubt thank you.	I do not blame you for slaying him after all the grief he has caused you. The merchants of Jerusalem would no doubt thank you.
At least the Grail is unharmed. Now you must move quickly to find Galahad and return to Camelot.	At least the Grail is unharmed. Now you must move quickly to find Galahad and return to Camelot.
  Mercy, I beg you, show mercy!	  Mercy, I beg you, show mercy!
The scholar may know more about symbols than you.	The scholar may know more about symbols than you.
There are no olives.	There are no olives.
Hazm is not here.	Hazm is not here.
Perhaps you should stay and seek knowledge from the old scholar.	Perhaps you should stay and seek knowledge from the old scholar.
His clothing and bearing are simple, yet his words reveal wisdom and complexity.  There is no doubt that he is what he says he is.	His clothing and bearing are simple, yet his words reveal wisdom and complexity.  There is no doubt that he is what he says he is.
Even his name, Al-Sirat, is a clue.  It is a name for the knife-edged path of truth that one must tread to reach paradise or heaven.	Even his name, Al-Sirat, is a clue.  It is a name for the knife-edged path of truth that one must tread to reach paradise or heaven.
Which means, Arthur, that he invited you here for a specific purpose, one which you must unravel for yourself.	Which means, Arthur, that he invited you here for a specific purpose, one which you must unravel for yourself.
You must unravel his purpose for yourself.	You must unravel his purpose for yourself.
The walls are a bit too high for that.	The walls are a bit too high for that.
Overhead, it is open sky.	Overhead, it is open sky.
Beneath the colourful mats there is pale, sandy earth.	Beneath the colourful mats there is pale, sandy earth.
I suspect this is a place of meditation and that Al-Sirat's home is elsewhere.	I suspect this is a place of meditation and that Al-Sirat's home is elsewhere.
There is nothing here save four bare walls, plants, the two rugs and a small table with a carafe, cups and a bowl of figs.	There is nothing here save four bare walls, plants, the two rugs and a small table with a carafe, cups and a bowl of figs.
Through the open doorway one can see the hills and the high desert.	Through the open doorway one can see the hills and the high desert.
The serenity of the scholar's courtyard make the port and town of Gaza seem far away.	The serenity of the scholar's courtyard make the port and town of Gaza seem far away.
A tree branch gives some scant shade to this open yard.	A tree branch gives some scant shade to this open yard.
It is a small cup.  The carafe must contain a strong drink.	It is a small cup.  The carafe must contain a strong drink.
There is no more qahwah in the carafe.	There is no more qahwah in the carafe.
The elegant carafe holds the brew, qahwah, that he prepared for you.  From the small size of the cups, it must be quite potent.	The elegant carafe holds the brew, qahwah, that he prepared for you.  From the small size of the cups, it must be quite potent.
There are no more ripe figs in the bowl.	There are no more ripe figs in the bowl.
There are ripe figs in the bowl.	There are ripe figs in the bowl.
Aye, he has aloe vera growing here.  It is a desert plant with a bitter, astringent sap.	Aye, he has aloe vera growing here.  It is a desert plant with a bitter, astringent sap.
It is a low, round, wooden table just large enough to hold the carafe, cups and one bowl.	It is a low, round, wooden table just large enough to hold the carafe, cups and one bowl.
It could be a young olive tree in the planter.  Another tree gives some scant shade to this open yard.	It could be a young olive tree in the planter.  Another tree gives some scant shade to this open yard.
They seem to be quite ordinary bushes. I believe that is a young tree in the planter.	They seem to be quite ordinary bushes. I believe that is a young tree in the planter.
