As an initiate of the Goddess, I may not accept money from a man.	As an initiate of the Goddess, I may not accept money from a man.
Perhaps you should move closer	Perhaps you should move closer
There is no-one inside my shop. I have closed up.	There is no-one inside my shop. I have closed up.
I would not annoy Mohammed by trying that when his shop is clearly closed.	I would not annoy Mohammed by trying that when his shop is clearly closed.
Thought I would wait and see how you fared, warrior. I take it things do not go well. I am sorry to see it. If I were not about to leave on a long journey, I would take you in as my guest.	Thought I would wait and see how you fared, warrior. I take it things do not go well. I am sorry to see it. If I were not about to leave on a long journey, I would take you in as my guest.
It does not seem to me that you have much use for your mule now. And a fine mule she is, too. Just the kind of mule I could use on a long journey.	It does not seem to me that you have much use for your mule now. And a fine mule she is, too. Just the kind of mule I could use on a long journey.
I am sure you value your mule too highly to part with her. I certainly would.	I am sure you value your mule too highly to part with her. I certainly would.
Your mule is safe, habib. I thought I had best remain and guard her against other thieves. They are a plague in Jerusalem.	Your mule is safe, habib. I thought I had best remain and guard her against other thieves. They are a plague in Jerusalem.
I am not surprized you returned for her. She is an exceptionally well bred and well mannered mule. I use many mules in my travels and am a good judge.	I am not surprized you returned for her. She is an exceptionally well bred and well mannered mule. I use many mules in my travels and am a good judge.
That truly is a very good mule. You undoubtedly value her very highly. If that were my mule, I would never sell her.	That truly is a very good mule. You undoubtedly value her very highly. If that were my mule, I would never sell her.
You are wise not to waste your time chasing after him, habib. The thieves of Jerusalem are as slippery as eels.	You are wise not to waste your time chasing after him, habib. The thieves of Jerusalem are as slippery as eels.
A shame I must leave soon to join a caravan to Cairo, or you could be my guest. That is a very fine mule you have there, I notice. You must prize her highly.	A shame I must leave soon to join a caravan to Cairo, or you could be my guest. That is a very fine mule you have there, I notice. You must prize her highly.
I will ask Allah to aid you.	I will ask Allah to aid you.
I fear you waited too long, Arthur. He is gone.	I fear you waited too long, Arthur. He is gone.
You would give me this excellent mule?! Habibi, you are either a holy man or a mad man. Still, you have my undying gratitude.	You would give me this excellent mule?! Habibi, you are either a holy man or a mad man. Still, you have my undying gratitude.
You would not last long in Jerusalem without a sword. I could not consider buying your only weapon, magnificent though it is.	You would not last long in Jerusalem without a sword. I could not consider buying your only weapon, magnificent though it is.
 I have many shields to sell and yours, though well made, has been through much travel and battle. Besides, you may well need it.	 I have many shields to sell and yours, though well made, has been through much travel and battle. Besides, you may well need it.
It is good armor, made after the fashion of the Romans, I see. But I am in the business of selling, not buying.	It is good armor, made after the fashion of the Romans, I see. But I am in the business of selling, not buying.
You look well equipped, habib, and I have closed up shop to go on a journey.	You look well equipped, habib, and I have closed up shop to go on a journey.
I sell only weapons and armor.	I sell only weapons and armor.
The mule looks very happy with Mohammed.	The mule looks very happy with Mohammed.
She is yours, warrior. I am simply guarding her for you.	She is yours, warrior. I am simply guarding her for you.
I do not know of such things. I am only a simple soldier turned merchant.	I do not know of such things. I am only a simple soldier turned merchant.
There was another like you, but that was a some time ago. I do not know what became of him.	There was another like you, but that was a some time ago. I do not know what became of him.
She is a fine mule. I can see she has good bloodlines.	She is a fine mule. I can see she has good bloodlines.
That mongrel? He waits outside the gate and tries to trick people into paying him to enter! He is not very good at his fraud and most people are too smart to pay him.	That mongrel? He waits outside the gate and tries to trick people into paying him to enter! He is not very good at his fraud and most people are too smart to pay him.
I sell weapons of all kinds - swords, daggers, bows, maces, axes, spears and many other weapons. But I regret I have locked up as I must depart very soon to join a caravan.	I sell weapons of all kinds - swords, daggers, bows, maces, axes, spears and many other weapons. But I regret I have locked up as I must depart very soon to join a caravan.
I deal with weapons only.	I deal with weapons only.
I travel with a caravan to Cairo.	I travel with a caravan to Cairo.
It is in Egypt.	It is in Egypt.
The wench lives above me, but I would avoid her company, if I were you.	The wench lives above me, but I would avoid her company, if I were you.
I am sorry for your loss. That thief has done much mischief in the bazaar.	I am sorry for your loss. That thief has done much mischief in the bazaar.
It is a city of great interest, if one is careful enough.	It is a city of great interest, if one is careful enough.
Eh? You jest. You know that means weapons.	Eh? You jest. You know that means weapons.
I am not the wisest of men, habib, so I say as little as possible to hide my ignorance.	I am not the wisest of men, habib, so I say as little as possible to hide my ignorance.
Not wise, habib. There are mercenary guards all over this city, eager to cut into pieces any foreigner foolish enough to cause trouble. I know. I have done it.	Not wise, habib. There are mercenary guards all over this city, eager to cut into pieces any foreigner foolish enough to cause trouble. I know. I have done it.
Habibi, if you would truly part with this excellent mule, I will gladly give you all the money I have upon me. It is a goodly sum, but this fine mule is worth every coin.	Habibi, if you would truly part with this excellent mule, I will gladly give you all the money I have upon me. It is a goodly sum, but this fine mule is worth every coin.
In this purse you will find two dinars, that which is our gold coin. There are also dirhams, and these are silver, and some fals. A fals is a copper coin.	In this purse you will find two dinars, that which is our gold coin. There are also dirhams, and these are silver, and some fals. A fals is a copper coin.
Since I see you do not understand, here is the way of it--4 fals are worth 1 dirham. 4 dirham are worth 1 dinar.	Since I see you do not understand, here is the way of it--4 fals are worth 1 dirham. 4 dirham are worth 1 dinar.
And now I must go and meet the caravan that awaits me. May Allah grant you good fortune.	And now I must go and meet the caravan that awaits me. May Allah grant you good fortune.
I must hurry now to meet my caravan. May Allah guide you.	I must hurry now to meet my caravan. May Allah guide you.
You wish to waste time with your lodestone when a thief has just stolen your purse?!	You wish to waste time with your lodestone when a thief has just stolen your purse?!
So this is the bazaar of Jerusalem. Tiny shops line both sides of the street. And such smells! Delicious foods combined with the raw sewage in the gutter. Watch where you step.	So this is the bazaar of Jerusalem. Tiny shops line both sides of the street. And such smells! Delicious foods combined with the raw sewage in the gutter. Watch where you step.
Arthur! That little thief has grabbed your purse!	Arthur! That little thief has grabbed your purse!
There he goes, into an alley!	There he goes, into an alley!
He does not look like he is stopping for anything.	He does not look like he is stopping for anything.
You...you have brought this for me simply because I wanted it? No-one has ever shown me a kindness like this before.	You...you have brought this for me simply because I wanted it? No-one has ever shown me a kindness like this before.
Your good example makes me ashamed! To think that I should be as callous as those I criticize and let this poor boy go hungry when I have food to spare.	Your good example makes me ashamed! To think that I should be as callous as those I criticize and let this poor boy go hungry when I have food to spare.
Come here, little one. I will feed you and clothe you and raise you as my son in honor of this good man.	Come here, little one. I will feed you and clothe you and raise you as my son in honor of this good man.
I shall name him Joshua.	I shall name him Joshua.
Buy it? Does no-one do anything in this world without seeking gain? Very well, I will give you 3 fals for it, since you have gone to the trouble.	Buy it? Does no-one do anything in this world without seeking gain? Very well, I will give you 3 fals for it, since you have gone to the trouble.
Ya'Allah! It is the veil, the very veil! Habibi, you are forever my brother!	Ya'Allah! It is the veil, the very veil! Habibi, you are forever my brother!
I have had time to dwell upon my foolishness. I will never be unfaithful to my beloved wife again. Thank you! May you live long and bear many sons!	I have had time to dwell upon my foolishness. I will never be unfaithful to my beloved wife again. Thank you! May you live long and bear many sons!
So, you are a scoundrel and a friend of Mari, no doubt. Expect no gratitude from me. Here is 1 dirham and be gone, or I will call the city guard to deal with you.	So, you are a scoundrel and a friend of Mari, no doubt. Expect no gratitude from me. Here is 1 dirham and be gone, or I will call the city guard to deal with you.
What shall I do? What shall I do? I have been betrayed by Mari the wicked, Mari the vain. For my brief moment of weakness, I shall lose my beloved wife.	What shall I do? What shall I do? I have been betrayed by Mari the wicked, Mari the vain. For my brief moment of weakness, I shall lose my beloved wife.
You are a man. You will understand. I dallied but once with the woman, Mari, who lives above the shop of Mohammed. But I left behind a silken veil.	You are a man. You will understand. I dallied but once with the woman, Mari, who lives above the shop of Mohammed. But I left behind a silken veil.
Not any veil. A veil supreme in the mastery of the weaver's art, of glorious color and pattern. Mari refuses to return it to me.	Not any veil. A veil supreme in the mastery of the weaver's art, of glorious color and pattern. Mari refuses to return it to me.
I promised this veil to my wife as proof of my devotion. If I fail to bring it to her, she will leave me. I would do anything, pay anything, to avert that.	I promised this veil to my wife as proof of my devotion. If I fail to bring it to her, she will leave me. I would do anything, pay anything, to avert that.
Poor thing probably cannot speak properly. Well, give him time. Sometimes silence is the greater virtue, eh?	Poor thing probably cannot speak properly. Well, give him time. Sometimes silence is the greater virtue, eh?
No good trying to talk him. He never says a word. Not a tooth left in his head, anyway. He has been there for days, begging for crumbs.	No good trying to talk him. He never says a word. Not a tooth left in his head, anyway. He has been there for days, begging for crumbs.
Ah, it is a cruel world when no-one will help one another.	Ah, it is a cruel world when no-one will help one another.
He is afraid to take money. It must remind him of some evil happening from his past.	He is afraid to take money. It must remind him of some evil happening from his past.
He cannot eat it for he has lost most of his teeth, doubtless from starvation and hardship.	He cannot eat it for he has lost most of his teeth, doubtless from starvation and hardship.
Do not worry about him. He will have all the felafels his heart desires.	Do not worry about him. He will have all the felafels his heart desires.
Do not torment the boy, Arthur. You can see he is starving.	Do not torment the boy, Arthur. You can see he is starving.
He cannot eat the it for he has lost most of his teeth, doubtless from starvation and hardship.	He cannot eat the it for he has lost most of his teeth, doubtless from starvation and hardship.
You have nothing to feed him, Arthur, though it is a worthy thought.	You have nothing to feed him, Arthur, though it is a worthy thought.
He is too afraid to take it.	He is too afraid to take it.
