Ask the Harbourmaster about that.	Ask the Harbourmaster about that.
Ignore the brat and let us do business.	Ignore the brat and let us do business.
He is an impoverished old scholar.  Do not waste your time with him.	He is an impoverished old scholar.  Do not waste your time with him.
Never heard of it.	Never heard of it.
Trust me in all things.  I can lead you safely to all waterholes and wadis.	Trust me in all things.  I can lead you safely to all waterholes and wadis.
There was another like you, but he was gone from here before I could offer my services.	There was another like you, but he was gone from here before I could offer my services.
If you must ask questions, let us at least get started on the trip and talk later.	If you must ask questions, let us at least get started on the trip and talk later.
It is an old tower on a spit of land.	It is an old tower on a spit of land.
The sail was carefully repaired after the storm.	The sail was carefully repaired after the storm.
By my beard, you must know every plank of the ship by now, having been aboard for weeks.	By my beard, you must know every plank of the ship by now, having been aboard for weeks.
Though the mule is here, she looks even more unhappy than when you started this trip.	Though the mule is here, she looks even more unhappy than when you started this trip.
The rocks alongside the dock are slippery.  Avoid them.	The rocks alongside the dock are slippery.  Avoid them.
This is one of the stone docks at Gaza port.	This is one of the stone docks at Gaza port.
I would strongly advise you to heed this boy.	I would strongly advise you to heed this boy.
I would advise you to remember the advice the Captain offered you during the voyage.	I would advise you to remember the advice the Captain offered you during the voyage.
It is not clear what you want.  Try to be more specific.	It is not clear what you want.  Try to be more specific.
I suspect that no matter how hard you look, you will not find Al-Sirat or Hazm again.	I suspect that no matter how hard you look, you will not find Al-Sirat or Hazm again.
You should have paid more attention to Hazm.  You would undoubtedly know a great deal more than you do now.	You should have paid more attention to Hazm.  You would undoubtedly know a great deal more than you do now.
There is no guide here.  You are on your own.	There is no guide here.  You are on your own.
From what we have heard, the mukhtar is the last man you wish to find.  Or to have find you.  You should dally here no longer.	From what we have heard, the mukhtar is the last man you wish to find.  Or to have find you.  You should dally here no longer.
You will have to make do with what you have or can find.	You will have to make do with what you have or can find.
You should be well and truly sick of this ship by now.	You should be well and truly sick of this ship by now.
It seems I must warn you often that such violent urges against those who have done you no wrong will stain your soul and make you unworthy of the Grail.	It seems I must warn you often that such violent urges against those who have done you no wrong will stain your soul and make you unworthy of the Grail.
Unfortunately, you lost nearly everything when the storm washed your pack overboard.	Unfortunately, you lost nearly everything when the storm washed your pack overboard.
All seaports share similar odors, mainly the tang of salt and fish.	All seaports share similar odors, mainly the tang of salt and fish.
It has been emptied.  Do not waste your time.	It has been emptied.  Do not waste your time.
Thank you, sir, but I cannot accept money.  My reward is serving my Master well.	Thank you, sir, but I cannot accept money.  My reward is serving my Master well.
You have no business doing so.	You have no business doing so.
It would appear that you slept through the entire unloading of the ship.  Even the crew is gone.	It would appear that you slept through the entire unloading of the ship.  Even the crew is gone.
Before you lies the sun-baked village of Gaza.  Beyond the town lie hills, and beyond them is the desert.	Before you lies the sun-baked village of Gaza.  Beyond the town lie hills, and beyond them is the desert.
The land rises in rocky hills to the east.	The land rises in rocky hills to the east.
Only Hazm could have shown you the way.  You should have followed him when you had the chance.	Only Hazm could have shown you the way.  You should have followed him when you had the chance.
I presume he is with his Master.	I presume he is with his Master.
It is now quite empty.	It is now quite empty.
It has been removed.	It has been removed.
It is made of stone, part of an old fortification.	It is made of stone, part of an old fortification.
It is built of stone, solid and functional.	It is built of stone, solid and functional.
You have been looking at the waves for week upon weary week.  There is nothing new to see.	You have been looking at the waves for week upon weary week.  There is nothing new to see.
At this moment, everything you possess is upon your person, except for your mule.	At this moment, everything you possess is upon your person, except for your mule.
Aye, 'tis a mast.  It holds the sail.	Aye, 'tis a mast.  It holds the sail.
Aye, it connects the ship to the dock.	Aye, it connects the ship to the dock.
It looks the same as it has for weeks.	It looks the same as it has for weeks.
They are gone.	They are gone.
He is gone.	He is gone.
It has a rudder, as might be expected.	It has a rudder, as might be expected.
There is a tower on a spit of land and other hills in the distance in one direction, and the town of Gaza in the other.	There is a tower on a spit of land and other hills in the distance in one direction, and the town of Gaza in the other.
It is not much to look at it.  Poor dwellings, empty streets, much dirt and an air of hostility.	It is not much to look at it.  Poor dwellings, empty streets, much dirt and an air of hostility.
Aye, they are pleasant enough, as clouds go.	Aye, they are pleasant enough, as clouds go.
It is a valley cut into the earth by running water. Sometimes a wadi will still have water, but often they are dry.	It is a valley cut into the earth by running water. Sometimes a wadi will still have water, but often they are dry.
I have much book knowledge, but I cannot guide you step by step to a place where I have never been.	I have much book knowledge, but I cannot guide you step by step to a place where I have never been.
You are the wisest of men, sir, except for my Master!  Please follow me.	You are the wisest of men, sir, except for my Master!  Please follow me.
The desert lies ahead.  You will never cross it without my help.	The desert lies ahead.  You will never cross it without my help.
You need not pay now, but I could not insult your generosity by refusing.  Let us set out at once!	You need not pay now, but I could not insult your generosity by refusing.  Let us set out at once!
Excellent!  Let us waste no time! Follow me.	Excellent!  Let us waste no time! Follow me.
Oh, sir!  I am so happy you have returned!	Oh, sir!  I am so happy you have returned!
Please, will you come with me now and accept the hospitality of my Master, Al-Sirat?	Please, will you come with me now and accept the hospitality of my Master, Al-Sirat?
Al-Sirat is only poor in worldly goods, but in knowledge and wisdom he is the richest man on earth!	Al-Sirat is only poor in worldly goods, but in knowledge and wisdom he is the richest man on earth!
If you change your mind, sir, I will still gladly lead you to him.  But I must return to him soon, either with or without you.	If you change your mind, sir, I will still gladly lead you to him.  But I must return to him soon, either with or without you.
You are the wisest of men, sir, except for my Master!   Please follow me.	You are the wisest of men, sir, except for my Master!   Please follow me.
Your armour and steel drag you to the bottom and there you will lie until you are rotten, soggy and pulpy and truly forgotten.	Your armour and steel drag you to the bottom and there you will lie until you are rotten, soggy and pulpy and truly forgotten.
You should not think of returning to Gaza, Arthur.  If the mukhtar's men find you, it will mean your life.	You should not think of returning to Gaza, Arthur.  If the mukhtar's men find you, it will mean your life.
A pity.  You are so young to die.  Well, we may yet meet again, in case you change your mind.	A pity.  You are so young to die.  Well, we may yet meet again, in case you change your mind.
He does not answer.	He does not answer.
He could never hear you from here.	He could never hear you from here.
