You have failed. The price must be paid.	You have failed. The price must be paid.
We commonly trade it to foreign lands, as m'lud surely knows.	We commonly trade it to foreign lands, as m'lud surely knows.
It is just some honey and tin waiting to be loaded onto the proper ship.	It is just some honey and tin waiting to be loaded onto the proper ship.
The shore is green this time of year.	The shore is green this time of year.
Aye, there are Vikings around Dublin and Saracen pirates in the Mediterranean.  They are the scourge of honest merchants, m'lord.	Aye, there are Vikings around Dublin and Saracen pirates in the Mediterranean.  They are the scourge of honest merchants, m'lord.
Aye aye, an eye for an eye, say I.	Aye aye, an eye for an eye, say I.
Awrr, they are the heathen worshippers of a foreign god, but they rule most of the Mediterranean now, so we must deal with them.	Awrr, they are the heathen worshippers of a foreign god, but they rule most of the Mediterranean now, so we must deal with them.
Fearing? I be afeared of nothing but the sea, m'lud.	Fearing? I be afeared of nothing but the sea, m'lud.
My hearing? Aye, the roar of sea and wind has deafened me a trifle.	My hearing? Aye, the roar of sea and wind has deafened me a trifle.
Pray pardon me, m'lud, but I cannot accept your fare now, until I have a ship on which to book you a passage.  I beg you to return later.	Pray pardon me, m'lud, but I cannot accept your fare now, until I have a ship on which to book you a passage.  I beg you to return later.
For this transaction, it would be better to dismount.	For this transaction, it would be better to dismount.
Move closer to the Harbourmaster.	Move closer to the Harbourmaster.
Beg pardon, m'lud, but I did not hear you ask for a port of call yet.	Beg pardon, m'lud, but I did not hear you ask for a port of call yet.
If you wish. I am sure the Harbourmaster can help you with that.	If you wish. I am sure the Harbourmaster can help you with that.
Pardon, m'lud, but that is not a port and no ship sails there.	Pardon, m'lud, but that is not a port and no ship sails there.
Beggin' m'lud's pardon, but I be a trifle hard of hearing. I did not hear where you wished to go.	Beggin' m'lud's pardon, but I be a trifle hard of hearing. I did not hear where you wished to go.
Eh? Never heard of it.  'Tis some piddling little foreign rathole, I suppose.	Eh? Never heard of it.  'Tis some piddling little foreign rathole, I suppose.
But m'lud has paid nothing that I might refund.	But m'lud has paid nothing that I might refund.
As you command, m'lud.  I shall return what you have given me.	As you command, m'lud.  I shall return what you have given me.
Others might be surprised to see you here, m'lud, but not I.  Ever since Sir Galahad sailed from here and did not return, I felt another would follow in his steps.	Others might be surprised to see you here, m'lud, but not I.  Ever since Sir Galahad sailed from here and did not return, I felt another would follow in his steps.
Though little did I suspect it would be our most noble knight and King himself.	Though little did I suspect it would be our most noble knight and King himself.
If you wish to book passage upon one of them, m'lud, I will take your fare myself, for by your own law every man--even a king--must pay his way.	If you wish to book passage upon one of them, m'lud, I will take your fare myself, for by your own law every man--even a king--must pay his way.
If you have come to follow Galahad, m'lud, you have come at a bad time.  Several ships are in port, but none will be ready to sail again for some days.  I suggest you return later.	If you have come to follow Galahad, m'lud, you have come at a bad time.  Several ships are in port, but none will be ready to sail again for some days.  I suggest you return later.
Ah, m'lud, your return is most timely.  I have five ships leaving port.  They are sailing for Dublin, Rennes, Rome, Thessalonica and Gaza.	Ah, m'lud, your return is most timely.  I have five ships leaving port.  They are sailing for Dublin, Rennes, Rome, Thessalonica and Gaza.
Would you care to book passage upon one of them? By your own law every man--even a king--must pay his way.   I would be pleased to answer any question you may ask about them.	Would you care to book passage upon one of them? By your own law every man--even a king--must pay his way.   I would be pleased to answer any question you may ask about them.
Greetings, m'lud.  I fear you have returned too soon.  We have had some trouble at the docks.  Drunken brawls amongst the sailors, that sort of thing.	Greetings, m'lud.  I fear you have returned too soon.  We have had some trouble at the docks.  Drunken brawls amongst the sailors, that sort of thing.
The crews will be unfit to sail for days yet.  You had best return later.	The crews will be unfit to sail for days yet.  You had best return later.
Beggin' m'lud's pardon, but only coin may be collected for fare.	Beggin' m'lud's pardon, but only coin may be collected for fare.
Sorry, m'lud, it is already sold.	Sorry, m'lud, it is already sold.
I have five ships bound for different parts of the world on which you might book passage.  They sail for Dublin, Rennes, Rome, Thessalonica and Gaza.	I have five ships bound for different parts of the world on which you might book passage.  They sail for Dublin, Rennes, Rome, Thessalonica and Gaza.
If you wish to book passage on one of them, m'lud, I will be most happy to tell you the fare for each.	If you wish to book passage on one of them, m'lud, I will be most happy to tell you the fare for each.
Beggin' m'lud's pardon, but I may accept only coin as the proper fare.	Beggin' m'lud's pardon, but I may accept only coin as the proper fare.
No need to part with it, m'lud.  There will be just enough room on the ship for it.	No need to part with it, m'lud.  There will be just enough room on the ship for it.
I am not in the mule buying business, m'lud.	I am not in the mule buying business, m'lud.
Methinks the man is hard of hearing, Arthur.	Methinks the man is hard of hearing, Arthur.
It would improper of you to break the seals on merchandise that does not belong to you.	It would improper of you to break the seals on merchandise that does not belong to you.
Did you not hear, Arthur?  Galahad went to Jerusalem.	Did you not hear, Arthur?  Galahad went to Jerusalem.
If you want to know about ship destinations, booking passage or fares, you should ask the Harbourmaster about them.	If you want to know about ship destinations, booking passage or fares, you should ask the Harbourmaster about them.
It is fairly calm, indicating light wind.	It is fairly calm, indicating light wind.
Beneath you is the dock.	Beneath you is the dock.
Ask the Harbourmaster.	Ask the Harbourmaster.
It is fully loaded and ready to sail.	It is fully loaded and ready to sail.
It has not yet finished with loading and unloading of cargo and supplies.  But the Harbourmaster would know more than I about such things.	It has not yet finished with loading and unloading of cargo and supplies.  But the Harbourmaster would know more than I about such things.
A foreign ship is moored along one side of the dock.  Yonder portly fellow is the Harbourmaster, who has authority over all ships that enter and leave Southampton.   Some cargo has been off-loaded from the ship and awaits delivery.	A foreign ship is moored along one side of the dock.  Yonder portly fellow is the Harbourmaster, who has authority over all ships that enter and leave Southampton.   Some cargo has been off-loaded from the ship and awaits delivery.
My hearing is excellent, thank you.	My hearing is excellent, thank you.
It is Greek for "Kristi".	It is Greek for "Kristi".
Peter loves Christy and Christy loves Peter and that is all you need to know.	Peter loves Christy and Christy loves Peter and that is all you need to know.
His whereabouts are yet unknown.	His whereabouts are yet unknown.
Aye, 'tis a mast.   It holds the sail.	Aye, 'tis a mast.   It holds the sail.
The gangplank is in place.  The ship must still be engaged in business.	The gangplank is in place.  The ship must still be engaged in business.
It is furled atop the mast.	It is furled atop the mast.
Perhaps the crews are having a final round of drinks at a local inn before departure.	Perhaps the crews are having a final round of drinks at a local inn before departure.
He will surely appear once the Harbourmaster decrees the ship is cleared to leave.	He will surely appear once the Harbourmaster decrees the ship is cleared to leave.
The waves break on the shoreline of Southampton.	The waves break on the shoreline of Southampton.
Aye, a ship has many ropes.	Aye, a ship has many ropes.
Every ship has one.	Every ship has one.
'Tis not an uncommon practice among foreign seaman to paint an eye upon the prow so that the ship may better see where it is going.	'Tis not an uncommon practice among foreign seaman to paint an eye upon the prow so that the ship may better see where it is going.
It is a typical merchant ship bringing foreign cargo to trade for British goods such as tin.	It is a typical merchant ship bringing foreign cargo to trade for British goods such as tin.
There is a small bit of shelter in the prow, but no cabins.  These ships are built for cargo, not comfort.	There is a small bit of shelter in the prow, but no cabins.  These ships are built for cargo, not comfort.
The ship's stern has a rudder, as might be expected.	The ship's stern has a rudder, as might be expected.
It is, not surprisingly, the shoreline of Southampton.	It is, not surprisingly, the shoreline of Southampton.
The clouds do not look threatening and should not delay the ship from sailing.	The clouds do not look threatening and should not delay the ship from sailing.
The earthenware pots and jars might contain wax, oil, wine or honey.	The earthenware pots and jars might contain wax, oil, wine or honey.
The packets are wrapped in oil cloth and could be any number of common trade items:  spices, furs, cloth, ivory, amber, glass beads, pottery.	The packets are wrapped in oil cloth and could be any number of common trade items:  spices, furs, cloth, ivory, amber, glass beads, pottery.
There are many fish in the sea, Arthur, and seagulls to feast upon them.	There are many fish in the sea, Arthur, and seagulls to feast upon them.
The cargo on the dock consists of earthenware pots and jars and some wrapped packets.	The cargo on the dock consists of earthenware pots and jars and some wrapped packets.
Since a goodly portion of your tax revenues come from shipping, I suppose it must be doing well enough.	Since a goodly portion of your tax revenues come from shipping, I suppose it must be doing well enough.
