A noble thought, but you must find a practical way to do this.	A noble thought, but you must find a practical way to do this.
The Seeress said that eating the apple would relieve hunger and thirst and give you renewed strength. How long such an effect will last is another question, however.	The Seeress said that eating the apple would relieve hunger and thirst and give you renewed strength. How long such an effect will last is another question, however.
The bone is gone. You must have dropped it on the stairs. Just as well. It was a useless thing to carry around.	The bone is gone. You must have dropped it on the stairs. Just as well. It was a useless thing to carry around.
Her presence is here. She waits for you to prove yourself with sword and shield, as she requires.	Her presence is here. She waits for you to prove yourself with sword and shield, as she requires.
Only you can summon her, Arthur. And waste no time going about it!	Only you can summon her, Arthur. And waste no time going about it!
She has abandoned this place at last and will not return.	She has abandoned this place at last and will not return.
You must locate this pillar by yourself.	You must locate this pillar by yourself.
If you follow Aphrodite's instructions, the Grail will surely be yours.	If you follow Aphrodite's instructions, the Grail will surely be yours.
You must unravel Aphrodite's words for yourself.	You must unravel Aphrodite's words for yourself.
You should know Aphrodite's sacred number by now.	You should know Aphrodite's sacred number by now.
Not even I know such secrets, though certainly the Sacred Cup was one of them.	Not even I know such secrets, though certainly the Sacred Cup was one of them.
I see no thief. Perhaps your experience with the thief in the bazaar still preys upon your mind.	I see no thief. Perhaps your experience with the thief in the bazaar still preys upon your mind.
You vanquished him, as you must surely remember.	You vanquished him, as you must surely remember.
He looks to be a formidable opponent. And he is no ordinary mortal, but a mystic guardian. Defeating him will require strategy and wits more than brute strength.	He looks to be a formidable opponent. And he is no ordinary mortal, but a mystic guardian. Defeating him will require strategy and wits more than brute strength.
There is no Saracen here.	There is no Saracen here.
It has no further use for the moment.	It has no further use for the moment.
Nay, keep it. It is a valuable talisman.	Nay, keep it. It is a valuable talisman.
Only you can do that. As for when and how, your own wits must guide you.	Only you can do that. As for when and how, your own wits must guide you.
I suspect that when the time comes, it will be the Goddess who does the talking, not you.	I suspect that when the time comes, it will be the Goddess who does the talking, not you.
She does not answer. I cannot imagine why she would.	She does not answer. I cannot imagine why she would.
Aye, that IS the purpose of your mission.	Aye, that IS the purpose of your mission.
If you dredge your feeble memory, you may recall that you have killed him.	If you dredge your feeble memory, you may recall that you have killed him.
Ahem. Arthur, there is no Saracen here.	Ahem. Arthur, there is no Saracen here.
She would have no interest in mortal trinkets.	She would have no interest in mortal trinkets.
See?  Now you have gone and lost your head.  But I am sure the mukhtar's men will find a use for it--to adorn a spike, no doubt.	See?  Now you have gone and lost your head.  But I am sure the mukhtar's men will find a use for it--to adorn a spike, no doubt.
Excellent!  Let us waste no time!  Follow me.	Excellent!  Let us waste no time!  Follow me.
I knew you must come this way, and see, I have gotten here before you and waited.	I knew you must come this way, and see, I have gotten here before you and waited.
You will never survive this desert without my help.  Hire me and I will be your guide.	You will never survive this desert without my help.  Hire me and I will be your guide.
I thank you, habib.  You need not pay me until we reach Jerusalem.	I thank you, habib.  You need not pay me until we reach Jerusalem.
But I take it that your intent is to hire me as your guide.	But I take it that your intent is to hire me as your guide.
It is a hard climb.  Rest here, if you like.  I shall wait for you just ahead.	It is a hard climb.  Rest here, if you like.  I shall wait for you just ahead.
Jabir liked not the sound of your steel being drawn.	Jabir liked not the sound of your steel being drawn.
The buildings rise all around you to a narrow band of sky overhead.	The buildings rise all around you to a narrow band of sky overhead.
You trod upon hard-packed earth as firm as stone.	You trod upon hard-packed earth as firm as stone.
I doubt you will see the Goddess in this alley.	I doubt you will see the Goddess in this alley.
I cannot tell if these buildings are empty or occupied, but they seem deliberately built to prevent anyone from entering or even seeing the Temple.	I cannot tell if these buildings are empty or occupied, but they seem deliberately built to prevent anyone from entering or even seeing the Temple.
Merely common weeds, of no consequence.	Merely common weeds, of no consequence.
The Goddess said to use it after you had proven yourself by sword and shield.	The Goddess said to use it after you had proven yourself by sword and shield.
These are brick walls covered with plaster.	These are brick walls covered with plaster.
There is none.	There is none.
Ahem, there is no-one in this alley but you, Arthur.	Ahem, there is no-one in this alley but you, Arthur.
Who? There is no-one else here.	Who? There is no-one else here.
It does nothing here.	It does nothing here.
It would be a waste of time, even if you had the means.	It would be a waste of time, even if you had the means.
I am not here to answer questions, infidel. To win the Grail, you must do battle with me. Draw your sword!	I am not here to answer questions, infidel. To win the Grail, you must do battle with me. Draw your sword!
This Saracen is clearly an honorable foe, to offer you this helmet. Accept it or not, according to your own common sense.	This Saracen is clearly an honorable foe, to offer you this helmet. Accept it or not, according to your own common sense.
You cannot fight the saracen from here.	You cannot fight the saracen from here.
Infidel, you must defeat me if you would win the Grail. Here, in this Temple of Aphrodite, we must match sword and shield, strength and skill, until one of us is dead.	Infidel, you must defeat me if you would win the Grail. Here, in this Temple of Aphrodite, we must match sword and shield, strength and skill, until one of us is dead.
But I wish for an equal fight and you do not have a helmet. Therefore, I offer you one that is a strong as my own. Wear it or not, as you please.	But I wish for an equal fight and you do not have a helmet. Therefore, I offer you one that is a strong as my own. Wear it or not, as you please.
Face me, coward! We must fight until one of us lies dead upon these sacred stones.	Face me, coward! We must fight until one of us lies dead upon these sacred stones.
With your brain sliced in twain, I am sure you are having second thoughts about not taking the helmet offered to you by the Saracen.	With your brain sliced in twain, I am sure you are having second thoughts about not taking the helmet offered to you by the Saracen.
Interesting tactic, letting your opponent kill you without the least resistance. Not terribly effective for you, however.	Interesting tactic, letting your opponent kill you without the least resistance. Not terribly effective for you, however.
You cannot reach the helmet from here.	You cannot reach the helmet from here.
Where you stand, once my priestesses stood. My name was spoken with reverence. My statue and holy of holies were housed within, where only that bare pedestal remains.	Where you stand, once my priestesses stood. My name was spoken with reverence. My statue and holy of holies were housed within, where only that bare pedestal remains.
The last thing my worshippers would see as they left my temple was this leftward spiral upon the threshold, reminder of life turning ever onwards.	The last thing my worshippers would see as they left my temple was this leftward spiral upon the threshold, reminder of life turning ever onwards.
As with life, so too does power pass onward. Even gods and goddesses fall prey to the endless cycle. My reign here is ended. I shall never return.	As with life, so too does power pass onward. Even gods and goddesses fall prey to the endless cycle. My reign here is ended. I shall never return.
You have won the Sacred Cup by your determination and persistence, by cleverness and skill of arms. I surrender it to you.	You have won the Sacred Cup by your determination and persistence, by cleverness and skill of arms. I surrender it to you.
But beware, the power of the Grail itself will pass final judgment upon your worthiness to possess it.	But beware, the power of the Grail itself will pass final judgment upon your worthiness to possess it.
Start where you should start, turn as you should turn and count the places of the pillars until you reach my sacred number. Beneath that pillar you shall find what you seek.	Start where you should start, turn as you should turn and count the places of the pillars until you reach my sacred number. Beneath that pillar you shall find what you seek.
I HATE to be ignored! And by a mortal! It is too great an insult to bear!	I HATE to be ignored! And by a mortal! It is too great an insult to bear!
Hell hath no fury like a Goddess peeved.	Hell hath no fury like a Goddess peeved.
I warn you, mortal, do NOT keep me waiting!.	I warn you, mortal, do NOT keep me waiting!.
Aye, it moves!	Aye, it moves!
You have found it! You have found the Grail!	You have found it! You have found the Grail!
One hand barely touches the sacred cup through a tiny gap in the white cloth that covers it. The Grail's power pours through you and restores you instantly to perfect health!	One hand barely touches the sacred cup through a tiny gap in the white cloth that covers it. The Grail's power pours through you and restores you instantly to perfect health!
You are dazed with the Grail's power, but you must recover yourself and find a way out of here. Camelot must be saved before-- 	You are dazed with the Grail's power, but you must recover yourself and find a way out of here. Camelot must be saved before-- 
The Thief has struck again! Stop him!	The Thief has struck again! Stop him!
Alas! The Grail has judged you and found you unworthy. Too great was the burden of sin upon your soul.	Alas! The Grail has judged you and found you unworthy. Too great was the burden of sin upon your soul.
