The rugs are brightly decorated in abstract patterns.	The rugs are brightly decorated in abstract patterns.
This is the symbol of Astarte.	This is the symbol of Astarte.
This is the symbol of Ceres.	This is the symbol of Ceres.
This is the symbol of Venus.	This is the symbol of Venus.
There was nothing terribly interesting about that other wall.	There was nothing terribly interesting about that other wall.
It is good that you have come.  The Captain sent word to me that you were here, though in truth I have been expecting you for some time.	It is good that you have come.  The Captain sent word to me that you were here, though in truth I have been expecting you for some time.
I am Al-Sirat, the first of Six Guardians who serve the Goddess, she who gives the power of life and regeneration through her sacred cup, which you know as the Grail.	I am Al-Sirat, the first of Six Guardians who serve the Goddess, she who gives the power of life and regeneration through her sacred cup, which you know as the Grail.
We who are the Six Guardians will test you in different ways.  We will test your mind, spirit and body.  You must pass each one of us before the Goddess will relinquish her sacred cup to you.	We who are the Six Guardians will test you in different ways.  We will test your mind, spirit and body.  You must pass each one of us before the Goddess will relinquish her sacred cup to you.
Excuse me, Master.  I have fed and watered the mule for your guest, as you said.	Excuse me, Master.  I have fed and watered the mule for your guest, as you said.
Thank you, Hazm.  Wait with the mule until our guest is ready to leave.  Then you will guide him in secret away from Gaza.	Thank you, Hazm.  Wait with the mule until our guest is ready to leave.  Then you will guide him in secret away from Gaza.
I am a scholar.  I have spent my life in study and meditation.  I am at your disposal, to share what knowledge I may.	I am a scholar.  I have spent my life in study and meditation.  I am at your disposal, to share what knowledge I may.
And please, allow me to offer you qahwah to drink and figs to eat.  It is simple fare, but all that I have.	And please, allow me to offer you qahwah to drink and figs to eat.  It is simple fare, but all that I have.
PRESS F6 WHEN FINISHED	PRESS F6 WHEN FINISHED
Here is the challenge placed before you. There are six Tablets engraved with a symbol, one for each of the Six Goddesses.	Here is the challenge placed before you. There are six Tablets engraved with a symbol, one for each of the Six Goddesses.
There are six Niches for the tablets. Choose a Niche and I will pose a question, one question for each of the Six Goddesses.	There are six Niches for the tablets. Choose a Niche and I will pose a question, one question for each of the Six Goddesses.
You must know which Goddess answers the question, then move the Tablet with her symbol into the Niche.	You must know which Goddess answers the question, then move the Tablet with her symbol into the Niche.
When you have answered all six questions, only then will I tell you whether you have passed or failed.	When you have answered all six questions, only then will I tell you whether you have passed or failed.
I bid you to begin and may Aphrodite smile upon you.	I bid you to begin and may Aphrodite smile upon you.
Click on an empty Niche to see the clue.  Click on a Tablet to select it. Click on a destination to move the selected Tablet.  PRESS F6 WHEN ALL TABLETS HAVE BEEN PLACED.	Click on an empty Niche to see the clue.  Click on a Tablet to select it. Click on a destination to move the selected Tablet.  PRESS F6 WHEN ALL TABLETS HAVE BEEN PLACED.
USE ARROW KEYS TO POSITION CURSOR BOX.  On an empty Niche: press "Enter" to see clue.  On a Tablet: press "Enter" to select. Position cursor box on destination, and press "Enter" again to move the selected Tablet.  PRESS F6 WHEN ALL TABLETS HAVE BEEN PLACED.	USE ARROW KEYS TO POSITION CURSOR BOX.  On an empty Niche: press "Enter" to see clue.  On a Tablet: press "Enter" to select. Position cursor box on destination, and press "Enter" again to move the selected Tablet.  PRESS F6 WHEN ALL TABLETS HAVE BEEN PLACED.
Your wisdom is great.  You have passed my test.	Your wisdom is great.  You have passed my test.
You have not passed my test. Will you try again?	You have not passed my test. Will you try again?
roomNum = %d	roomNum = %d
prev room exit = %d	prev room exit = %d
cur room entrance = %d	cur room entrance = %d
cur room rotation = %d	cur room rotation = %d
My King! You have won the Grail!	My King! You have won the Grail!
Aye, but rise, Sir Galahad, and draw near to your King at once! A great power is at work!	Aye, but rise, Sir Galahad, and draw near to your King at once! A great power is at work!
The Grail has chosen to bring you home in your hour of desperate need!	The Grail has chosen to bring you home in your hour of desperate need!
The Grail has brought you here, Arthur. Only one god may rule in thy kingdom now. The altar of the Christ god awaits its vessel.	The Grail has brought you here, Arthur. Only one god may rule in thy kingdom now. The altar of the Christ god awaits its vessel.
Cast down your eyes! The radiance of the Grail is too great for any man to see.	Cast down your eyes! The radiance of the Grail is too great for any man to see.
Behold, Mithra has been driven away! And the Grail is gone!	Behold, Mithra has been driven away! And the Grail is gone!
It has become a healing force that spreads outward, touching every corner of your kingdom!	It has become a healing force that spreads outward, touching every corner of your kingdom!
The land returns to life. The lakes and rivers and wells fill once more with clean, fresh water.	The land returns to life. The lakes and rivers and wells fill once more with clean, fresh water.
Camelot is healed!	Camelot is healed!
You receive Gwenhyver's praise and adoration, as you have well earned.	You receive Gwenhyver's praise and adoration, as you have well earned.
Your knights salute you and the joyous cries of the love and      gratitude of your people fills          the air.	Your knights salute you and the joyous cries of the love and      gratitude of your people fills          the air.
And so you have won, through purity of spirit and heart, through skill and strength. No praise is too great.	And so you have won, through purity of spirit and heart, through skill and strength. No praise is too great.
With peace and prosperity returned to your kingdom, you have the time to rest and enjoy the land you have saved.	With peace and prosperity returned to your kingdom, you have the time to rest and enjoy the land you have saved.
But though your land is healed, your heart is not. Perhaps it never shall be.	But though your land is healed, your heart is not. Perhaps it never shall be.
FINIS	FINIS
animators	animators
 Douglas Herring	 Douglas Herring
  Kenn Nishiuye	  Kenn Nishiuye
    Andy Hoyos	    Andy Hoyos
 Jennifer Shontz	 Jennifer Shontz
  Peter Ledger	  Peter Ledger
background artists	background artists
 Peter Ledger	 Peter Ledger
 Julian Ledger	 Julian Ledger
Douglas Herring	Douglas Herring
programmers	programmers
Bob Fischbach	Bob Fischbach
 Jerry Shaw	 Jerry Shaw
  Eric Hart	  Eric Hart
Doug Oldfield	Doug Oldfield
development system by	development system by
Jeff Stephenson	Jeff Stephenson
