You let Gawaine die an ignoble death in the Forest Perilous.	You let Gawaine die an ignoble death in the Forest Perilous.
The last thing you need to carry is a rock hot enough to burn your fingers.	The last thing you need to carry is a rock hot enough to burn your fingers.
It would be a staggering waste of energy, even if it were possible, but these cliffs are steep and offer no grip for hand or foot.	It would be a staggering waste of energy, even if it were possible, but these cliffs are steep and offer no grip for hand or foot.
It is a terrible shame that Gaza was closed to you, or you might have obtained a waterskin there.	It is a terrible shame that Gaza was closed to you, or you might have obtained a waterskin there.
Now???	Now???
We are here, habib, at the water.	We are here, habib, at the water.
We are on our way to water now, habib.	We are on our way to water now, habib.
You waste precious breath talking to the air.	You waste precious breath talking to the air.
Rather redundant, Arthur, since he is dead.	Rather redundant, Arthur, since he is dead.
The heat must be affecting your brain.  There is no sign of Jabir.	The heat must be affecting your brain.  There is no sign of Jabir.
You would find only barren ground.	You would find only barren ground.
It broke under the ferocity of your assault and is of no use whatsoever.	It broke under the ferocity of your assault and is of no use whatsoever.
You can hardly do that from here.	You can hardly do that from here.
The heat has affected your thinking, I perceive.	The heat has affected your thinking, I perceive.
Aye, an excellent idea, provided you can find some.	Aye, an excellent idea, provided you can find some.
You must return to Jerusalem at once and finish your dealings with Fatima.	You must return to Jerusalem at once and finish your dealings with Fatima.
I can give you little more than encouragement and observation where this desert is concerned.	I can give you little more than encouragement and observation where this desert is concerned.
This is a desert of extreme terrain.  Sudden cliffs rise and block your way, while wadis unexpectedly appear in the ground.	This is a desert of extreme terrain.  Sudden cliffs rise and block your way, while wadis unexpectedly appear in the ground.
She is well.  She prays daily for your safety and ministers to Launcelot as he recovers from the Ice Maiden's spell.	She is well.  She prays daily for your safety and ministers to Launcelot as he recovers from the Ice Maiden's spell.
She prays daily for your well-being and success, and for the safe return of Launcelot.	She prays daily for your well-being and success, and for the safe return of Launcelot.
With the tender help of Gwenhyver and her ladies, he is recovering very well from his frozen sojourn.	With the tender help of Gwenhyver and her ladies, he is recovering very well from his frozen sojourn.
Alas, you have not saved Launcelot.  Thus you have jeopardized the success of your entire mission.	Alas, you have not saved Launcelot.  Thus you have jeopardized the success of your entire mission.
I hope you remember the way back to Jerusalem.  It would not do to get lost now.	I hope you remember the way back to Jerusalem.  It would not do to get lost now.
There is no sign of Jerusalem yet.	There is no sign of Jerusalem yet.
You should avoid the huge, flat areas of desert plateau, unless you have reason to think there is water there.	You should avoid the huge, flat areas of desert plateau, unless you have reason to think there is water there.
There are some hills in the distance, and the ground rises steadily toward the north and east.	There are some hills in the distance, and the ground rises steadily toward the north and east.
There is no snake here, fortunately, for the cobras of this desert are quite lethal.	There is no snake here, fortunately, for the cobras of this desert are quite lethal.
The lizards in this area are swift and harmless.	The lizards in this area are swift and harmless.
That is not important now.  You must get back to Jerusalem.	That is not important now.  You must get back to Jerusalem.
I have no knowledge of where water may be hidden in a wadi or oasis.  You must search.	I have no knowledge of where water may be hidden in a wadi or oasis.  You must search.
Well, you know where the Pool of Siloam is.	Well, you know where the Pool of Siloam is.
I cannot help you find water.  I have no such intimate knowledge of this desert.	I cannot help you find water.  I have no such intimate knowledge of this desert.
Let us hope you remember the way well enough.	Let us hope you remember the way well enough.
There is no hint of where to go in this trackless desert.	There is no hint of where to go in this trackless desert.
Even the shadows provide little relief from the heat.	Even the shadows provide little relief from the heat.
The shifting sands erase any traces of where you have been.	The shifting sands erase any traces of where you have been.
You have most prudently slain him.	You have most prudently slain him.
Jabir waits for you to follow him.	Jabir waits for you to follow him.
There is no apparent sign of him, but that means little with such a cunning desert dweller.	There is no apparent sign of him, but that means little with such a cunning desert dweller.
Your brain invents delusions from lack of water and the intense heat.  Do not dwell upon it.	Your brain invents delusions from lack of water and the intense heat.  Do not dwell upon it.
A mirage is usually an illusion of water, a bizarre phenomenon of the deserts.	A mirage is usually an illusion of water, a bizarre phenomenon of the deserts.
Copper or tin!  Copper or tin! Copper or tin for Widdershins! I am no troll but that is my toll! Copper or tin for Widdershins! Give me my way or a trick I will play!	Copper or tin!  Copper or tin! Copper or tin for Widdershins! I am no troll but that is my toll! Copper or tin for Widdershins! Give me my way or a trick I will play!
Copper or tin!  Copper or tin! Copper or tin for Widdershins! I am no troll but that is my toll! Copper or tin for Widdershins!	Copper or tin!  Copper or tin! Copper or tin for Widdershins! I am no troll but that is my toll! Copper or tin for Widdershins!
The trick has been played and I fear the sprite's bolt of mischief was aimed squarely at your purse.	The trick has been played and I fear the sprite's bolt of mischief was aimed squarely at your purse.
You were thrown back by a sorcerous barrier of great power. Yet there must be a way to pass it.	You were thrown back by a sorcerous barrier of great power. Yet there must be a way to pass it.
I suspect these five stones are a part of the riddle you must solve to breach the barrier.	I suspect these five stones are a part of the riddle you must solve to breach the barrier.
Eh, what is this? Why are you--ah, what a wonderful smell these herbs have! How very potent and aromatic! I shall hang them up at once.	Eh, what is this? Why are you--ah, what a wonderful smell these herbs have! How very potent and aromatic! I shall hang them up at once.
What, are you a merchant, too? What do I want with herbs? Ah, but they do smell good. In fact, they are so strongly aromatic, they might help disguise the smell of my fish.	What, are you a merchant, too? What do I want with herbs? Ah, but they do smell good. In fact, they are so strongly aromatic, they might help disguise the smell of my fish.
Very well, I will take them. Here are 2 fals, all I can afford. I am a poor man.	Very well, I will take them. Here are 2 fals, all I can afford. I am a poor man.
You have taught me something, habibi. Rather than dwelling only upon my problems, had I but sought a solution, I would have been a happier man.	You have taught me something, habibi. Rather than dwelling only upon my problems, had I but sought a solution, I would have been a happier man.
I thank you for this piece of wisdom, which will benefit my neighbors as well as myself. Sa'alam aleikem.	I thank you for this piece of wisdom, which will benefit my neighbors as well as myself. Sa'alam aleikem.
You cannot go this way.  There is a thief loose in the bazaar and many merchants are complaining.  The Jaffa Gate will be locked while we search for him.	You cannot go this way.  There is a thief loose in the bazaar and many merchants are complaining.  The Jaffa Gate will be locked while we search for him.
We do not know who he is, but when we find him, he is a dead man.  Now move along, before we begin to suspect that YOU may be the thief.	We do not know who he is, but when we find him, he is a dead man.  Now move along, before we begin to suspect that YOU may be the thief.
You may enter, stranger, but you may not leave until we have finished searching the city for thieves.	You may enter, stranger, but you may not leave until we have finished searching the city for thieves.
Aye, and if you are a thief, you will wish you had never come here.	Aye, and if you are a thief, you will wish you had never come here.
No, Arthur, no!	No, Arthur, no!
Alas! You are helpless, completely under Fatima's fatal spell. And here is the reward for your weakness, being smothered to death by a perfumed pillow.	Alas! You are helpless, completely under Fatima's fatal spell. And here is the reward for your weakness, being smothered to death by a perfumed pillow.
Gladly will I sell you relic. But first you must tell me -- what is the name of the saint whose relic you wish to buy?	Gladly will I sell you relic. But first you must tell me -- what is the name of the saint whose relic you wish to buy?
Saint %s! Yes, I do have a relic of Saint %s. Normally, 3 dinar, on sale today for 2 dinars. But I like you. You have an honest face. So for you, only 1 dinar!	Saint %s! Yes, I do have a relic of Saint %s. Normally, 3 dinar, on sale today for 2 dinars. But I like you. You have an honest face. So for you, only 1 dinar!
No, no. I must have the name of the saint whose relic you wish to buy. Nothing else will do. Think it over. If you are still interested in buying a relic, just say so.	No, no. I must have the name of the saint whose relic you wish to buy. Nothing else will do. Think it over. If you are still interested in buying a relic, just say so.
Greetings, King Arthur.	Greetings, King Arthur.
That was quick m'lord.	That was quick m'lord.
Well we meet again, m'lord.  Alas, you have not recovered your mule, I see.	Well we meet again, m'lord.  Alas, you have not recovered your mule, I see.
M'lord, your mule has bolted!	M'lord, your mule has bolted!
How colourful!	How colourful!
I am sure you never learned such language from me.	I am sure you never learned such language from me.
It would seem that being a king does not guarantee gentility.	It would seem that being a king does not guarantee gentility.
May your mouth rot and your tongue wither.	May your mouth rot and your tongue wither.
No wonder Gwenhyver prefers Launcelot, from whose refined lips such words were never spoken.	No wonder Gwenhyver prefers Launcelot, from whose refined lips such words were never spoken.
You are speaking gibberish.	You are speaking gibberish.
This must be some strange foreign tongue.	This must be some strange foreign tongue.
There are times when even I, Merlin, am without an answer.	There are times when even I, Merlin, am without an answer.
Your words are clear enough, but your meaning eludes me.	Your words are clear enough, but your meaning eludes me.
I feel I should know what you want, but your purpose is not clear.	I feel I should know what you want, but your purpose is not clear.
You don't see anything particularly interesting.	You don't see anything particularly interesting.
